categorySlug,region,Comercio,sale,sessions,quote,inauguration_year,furnitureWithEquipment,merchandise,surface,gross_income,GoogleDisplay,adwords,bing,facebook,hs_automation,hubspot
negocio-inmobiliario,Madrid,1.0,0,1.0,0,2018.0,3000.0,3000.0,60.0,38000.0,0,0,1,0,0,0
negocio-inmobiliario,Catalonia,1.0,0,1.0,0,2006.0,120000.0,3000.0,70.0,90000.0,0,1,0,0,0,0
negocio-inmobiliario,Andalusia,1.0,0,1.0,0,1990.0,5000.0,20000.0,30.0,70000.0,0,1,0,0,0,0
negocio-inmobiliario,Catalonia,1.0,0,1.0,1,1970.0,5000.0,5000.0,50.0,3000.0,0,1,0,0,0,0
negocio-inmobiliario,Galicia,1.0,0,1.0,1,2000.0,3000.0,3000.0,20.0,10000.0,0,0,1,0,0,0
negocio-inmobiliario,Madrid,1.0,0,1.0,1,1970.0,10000.0,3000.0,115.0,200000.0,0,1,0,0,0,0
negocio-inmobiliario,Catalonia,1.0,0,1.0,1,2010.0,3000.0,20000.0,25.0,50000.0,0,1,0,0,0,0
negocio-inmobiliario,Canary_Islands,1.0,1,1.0,1,1960.0,5000.0,5000.0,50.0,5000.0,0,1,0,0,0,0
negocio-inmobiliario,Madrid,1.0,0,1.0,1,2008.0,3000.0,3000.0,100.0,12000.0,0,1,0,0,0,0
negocio-inmobiliario,Castile-La_Mancha,1.0,0,1.0,1,1995.0,3000.0,3000.0,225.0,55000.0,0,0,1,0,0,0
negocio-inmobiliario,Andalusia,1.0,0,1.0,1,2000.0,11000.0,22000.0,80.0,480000.0,0,1,0,0,0,0
negocio-inmobiliario,Madrid,1.0,0,2.0,0,1980.0,3000.0,3000.0,50.0,250000.0,0,1,0,0,0,0
negocio-inmobiliario,Asturias,1.0,1,1.0,1,2000.0,3000.0,3000.0,40.0,3000.0,0,1,0,0,0,0
negocio-inmobiliario,Catalonia,1.0,0,1.0,1,1920.0,12000.0,25000.0,60.0,32000.0,0,0,1,0,0,0
negocio-inmobiliario,Andalusia,1.0,0,1.0,0,2007.0,10000.0,3000.0,160.0,200000.0,0,1,0,0,0,0
negocio-inmobiliario,Galicia,1.0,0,8.0,1,1995.0,4000.0,3000.0,225.0,6000.0,0,1,0,0,0,0
negocio-inmobiliario,Andalusia,1.0,0,1.0,0,2000.0,9000.0,3000.0,40.0,40000.0,0,0,0,1,0,0
negocio-inmobiliario,Andalusia,1.0,0,1.0,1,2003.0,15000.0,3000.0,75.0,15000.0,0,1,0,0,0,0
negocio-inmobiliario,Madrid,1.0,0,1.0,1,2017.0,3000.0,3000.0,20.0,10000.0,0,1,0,0,0,0
negocio-inmobiliario,Madrid,1.0,1,2.0,1,2000.0,3000.0,3000.0,50.0,40000.0,0,1,0,0,0,0
negocio-inmobiliario,Catalonia,1.0,0,1.0,1,2001.0,10000.0,3000.0,95.0,20000.0,0,1,0,0,0,0
negocio-inmobiliario,Madrid,1.0,0,2.0,0,1990.0,70000.0,5000.0,190.0,1100000.0,0,1,0,0,0,0
